1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
200009_at,10,12,15,2,7,1,7,4,11,6,7,9,2,9,3,4,14,5,3,11
200010_at,10,12,15,2,7,11,7,4,11,6,7,2,2,9,3,5,14,5,3,11
200011_s_at,8,2,9,4,13,6,13,8,6,9,15,14,10,10,5,6,9,4,14,1
200012_x_at,4,7,11,6,1,11,10,12,1,2,5,2,6,5,14,5,3,15,12,12
200013_at,2,15,2,5,5,14,4,5,15,11,13,8,9,8,10,7,11,6,10,7
200014_s_at,10,12,6,2,6,9,7,9,11,1,14,10,3,9,3,15,14,5,1,11
200015_s_at,8,2,9,3,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200016_x_at,10,5,4,1,6,9,7,9,9,1,14,10,3,9,3,15,5,5,1,15
200017_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200018_at,8,6,3,7,13,6,13,8,14,9,4,14,10,10,5,1,7,4,14,8
200019_s_at,2,9,4,1,6,9,7,9,9,11,14,10,4,8,3,15,14,5,8,15
200020_at,4,3,11,12,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200021_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200022_at,7,15,2,2,5,1,3,5,12,13,7,9,1,12,6,4,14,9,3,7
200023_s_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200024_at,15,5,6,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200025_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200026_at,7,15,9,3,5,4,3,5,12,13,7,9,1,12,6,4,10,9,10,7
200027_at,14,6,3,7,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200028_s_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200029_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200030_s_at,10,5,4,2,6,9,7,9,9,1,14,10,3,9,3,15,14,5,1,11
200031_s_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200032_s_at,8,13,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200033_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200034_s_at,7,15,2,3,5,1,3,5,12,13,13,9,1,12,6,4,10,9,10,7
200035_at,1,7,15,4,7,11,5,4,6,6,5,2,2,11,8,5,9,11,3,1
200036_s_at,7,15,2,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
200037_s_at,1,2,15,4,7,6,5,4,6,6,7,2,2,11,8,6,9,11,3,1
200038_s_at,7,15,9,3,13,4,3,8,12,13,15,9,1,12,6,4,10,9,10,14
200039_s_at,5,14,1,11,15,15,8,3,13,5,9,1,9,14,2,2,15,2,11,10
200040_at,7,15,9,3,5,1,3,8,12,13,7,9,1,12,6,4,10,9,10,7
200041_s_at,14,7,3,12,3,10,6,14,1,3,4,4,8,4,13,11,2,7,13,8
200042_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200043_at,1,2,15,4,7,6,5,4,6,6,5,2,2,11,8,6,9,11,3,1
200044_at,8,6,9,7,13,6,13,8,6,9,15,14,10,10,5,1,7,4,14,14
200045_at,7,12,15,2,7,1,3,4,11,6,7,9,2,12,6,4,14,9,3,1
200046_at,8,6,3,7,13,6,13,14,14,9,4,14,10,10,5,6,7,4,14,8
200047_s_at,7,15,2,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
200048_s_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200049_at,10,12,15,2,7,11,7,4,11,6,7,2,2,9,3,5,14,5,3,11
200050_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200051_at,10,12,6,6,6,9,7,9,5,1,14,10,3,9,3,15,5,5,1,11
200052_s_at,10,9,4,2,6,9,7,9,9,11,14,10,4,9,3,15,14,5,8,11
200053_at,1,2,15,4,13,6,5,4,6,6,7,14,2,11,8,6,9,11,3,1
200054_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200055_at,14,7,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200056_s_at,1,2,15,4,13,6,5,4,6,9,7,14,10,11,8,6,9,11,14,1
200057_s_at,14,6,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200058_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200059_s_at,2,15,2,5,5,14,4,5,15,11,13,8,4,8,10,4,11,6,8,7
200060_s_at,7,13,9,3,13,4,3,8,4,13,15,14,1,12,6,1,10,9,10,14
200061_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200062_s_at,1,12,15,4,7,11,5,4,1,6,5,2,2,11,8,5,9,11,3,1
200063_s_at,8,13,9,3,13,4,3,8,4,9,15,14,1,10,5,1,10,4,14,14
200064_at,5,15,2,5,5,14,4,5,15,13,13,1,9,14,15,14,11,6,10,7
200065_s_at,1,7,11,12,3,10,5,14,1,3,5,4,8,11,8,5,2,11,13,8
200066_at,1,7,11,12,3,10,5,14,1,3,5,4,8,11,8,11,2,11,13,8
200067_x_at,1,2,15,4,7,11,5,4,6,6,7,2,2,11,8,6,9,11,3,1
200068_s_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,6,9,11,3,1
200069_at,4,12,6,6,1,11,10,12,5,2,5,2,6,5,14,5,3,15,12,12
200070_at,8,13,9,3,4,4,2,8,4,13,15,1,1,10,15,1,10,3,14,14
200071_at,8,13,9,3,13,4,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200072_s_at,8,6,3,7,13,6,13,8,6,9,15,14,10,10,5,1,7,4,14,14
200073_s_at,10,12,15,2,7,1,7,4,11,6,7,9,2,9,3,4,14,5,3,11
200074_s_at,14,6,3,7,3,6,13,14,14,9,4,4,10,4,5,11,7,4,13,8
200075_s_at,8,2,9,7,13,6,13,8,6,9,15,14,10,10,5,1,7,4,14,14
200076_s_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200077_s_at,5,13,1,11,4,4,2,1,4,5,9,1,15,14,15,14,10,3,11,10
200078_s_at,4,12,6,6,1,11,10,12,5,2,5,2,6,5,14,5,3,15,12,12
200079_s_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,6,9,11,3,1
200080_s_at,7,2,15,4,13,1,3,4,6,6,7,9,2,12,6,6,9,9,3,1
200081_s_at,14,7,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200082_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200083_at,1,12,15,4,7,11,5,4,11,6,7,2,2,11,8,5,9,11,3,1
200084_at,5,13,9,3,4,4,2,8,4,13,15,1,1,14,15,14,10,3,10,14
200085_s_at,7,2,15,4,13,6,5,4,6,6,7,14,2,12,6,6,9,11,3,1
200086_s_at,2,15,2,5,5,1,4,5,12,11,13,9,4,8,10,4,11,9,8,7
200087_s_at,10,5,4,1,6,9,7,9,9,1,14,10,3,9,3,15,5,5,1,15
200088_x_at,8,2,3,7,13,6,13,8,6,9,4,14,10,10,5,6,7,4,14,1
200089_s_at,10,12,15,4,7,11,5,4,11,6,5,2,2,9,3,5,14,11,3,11
200090_at,1,12,15,4,7,11,5,4,6,6,5,2,2,11,8,5,9,11,3,1
200091_s_at,8,13,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200092_s_at,8,2,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200093_s_at,7,2,9,3,13,1,3,8,6,9,7,9,1,12,6,6,10,9,14,14
200094_s_at,7,15,9,3,5,1,3,8,12,13,7,9,1,12,6,4,10,9,10,7
200095_x_at,7,15,2,5,5,14,4,5,12,13,13,9,1,12,10,4,11,9,10,7
200096_s_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200097_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200098_s_at,10,12,15,2,7,9,7,4,11,6,14,10,2,9,3,4,14,5,3,11
200099_s_at,14,7,11,12,3,10,6,14,1,3,4,4,8,4,13,11,2,7,13,8
200593_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,5,3,15,12,12
200594_x_at,1,12,15,4,7,11,5,4,1,6,5,2,2,11,8,5,9,11,3,1
200595_s_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,6,9,11,3,1
200596_s_at,2,9,2,2,5,1,7,5,11,11,7,9,4,8,3,4,14,5,8,7
200597_at,8,2,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200598_s_at,10,12,4,2,6,9,7,9,11,1,14,10,3,9,3,15,14,5,1,11
200599_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200600_at,8,6,3,7,13,6,13,14,6,9,4,14,10,10,5,6,7,4,14,1
200601_at,5,15,2,3,4,4,3,5,12,13,13,1,1,14,15,14,10,9,10,7
200602_at,14,6,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200603_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,11
200604_s_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200605_s_at,5,13,1,3,4,4,2,1,4,13,9,1,9,14,15,14,10,3,10,10
200606_at,4,7,11,6,1,11,5,12,1,2,5,2,6,5,8,5,3,15,12,12
200607_s_at,10,5,4,1,6,9,7,9,9,1,14,10,3,9,3,15,5,5,1,11
200608_s_at,7,2,9,3,13,1,3,8,12,13,15,9,1,12,6,4,10,9,14,14
200609_s_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200610_s_at,8,2,9,3,13,6,13,8,4,9,15,14,10,10,5,1,10,4,14,14
200611_s_at,8,13,9,3,13,4,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200612_s_at,8,6,3,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200613_at,2,9,4,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200614_at,8,6,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200615_s_at,1,7,3,4,3,6,5,14,6,3,4,4,8,11,8,6,9,11,13,8
200616_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200617_at,5,13,9,3,4,4,2,8,4,13,15,1,1,14,15,14,10,3,10,14
200618_at,8,6,3,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200619_at,2,9,4,5,6,14,4,9,15,11,13,8,4,8,10,7,11,6,8,15
200620_at,14,6,3,7,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200621_at,4,12,11,6,1,11,10,12,1,2,5,2,6,5,14,5,3,15,12,12
200622_x_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200623_s_at,14,7,11,12,3,10,6,14,1,3,4,4,8,4,13,11,2,7,13,8
200624_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200625_s_at,5,13,2,3,4,4,2,5,12,13,13,1,1,14,15,14,10,3,10,7
200626_s_at,8,6,3,7,13,6,13,14,14,9,4,14,10,10,5,1,7,4,14,8
200627_at,8,6,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200628_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200629_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200630_x_at,1,12,15,4,7,11,5,4,11,6,5,2,2,11,8,5,9,11,3,1
200631_s_at,5,13,9,3,4,4,2,8,4,9,15,1,10,14,15,1,10,3,11,14
200632_s_at,1,2,15,4,7,1,5,4,6,6,7,2,2,11,8,6,9,11,3,1
200633_at,1,12,15,4,7,11,5,4,11,6,5,2,2,11,8,5,9,11,3,1
200634_at,14,6,3,7,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200635_s_at,5,13,9,3,4,4,3,5,12,13,15,1,1,14,15,14,10,9,10,7
200636_s_at,15,3,6,6,1,2,10,12,5,1,11,6,3,13,11,12,5,1,1,12
200637_s_at,7,15,2,2,5,1,3,5,12,13,7,9,1,12,6,4,14,9,3,7
200638_s_at,2,9,4,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200639_s_at,1,2,3,4,3,11,5,14,6,3,4,2,8,11,8,6,9,11,13,1
200640_at,7,12,15,2,7,1,7,4,11,6,7,9,2,12,6,4,14,5,3,11
200641_s_at,1,2,15,4,13,6,5,4,6,6,7,14,10,11,8,6,9,11,3,1
200642_at,5,13,1,3,4,4,2,5,12,13,13,1,9,14,15,14,10,3,10,7
200643_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200644_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200645_at,8,6,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200646_s_at,7,2,15,4,13,1,3,4,6,6,7,9,2,12,6,6,9,9,3,1
200647_x_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200648_s_at,8,6,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200649_at,7,12,15,2,7,1,7,4,11,6,7,9,2,12,6,4,14,5,3,11
200650_s_at,1,12,15,4,7,11,5,4,1,6,5,2,2,11,8,5,9,11,3,1
200651_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200652_at,7,15,15,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,3,7
200653_s_at,10,9,4,2,6,9,7,9,9,11,14,10,4,9,3,15,14,5,8,11
200654_at,1,2,3,4,3,6,5,14,6,3,4,4,8,11,8,6,9,11,13,1
200655_s_at,7,15,2,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
200656_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200657_at,10,12,15,2,7,1,7,4,11,6,7,2,2,9,3,4,14,5,3,11
200658_s_at,10,9,4,2,5,9,7,9,11,11,14,10,4,9,3,4,14,5,8,11
200659_s_at,10,12,15,2,7,1,7,4,11,6,7,9,2,9,3,4,14,5,3,11
200660_at,8,6,3,7,13,6,13,14,14,9,4,14,10,10,5,6,7,4,14,8
200661_at,5,15,2,3,4,4,3,5,12,13,13,1,1,14,15,14,10,9,10,7
200662_s_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200663_at,8,13,9,7,13,4,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200664_s_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,6,9,11,3,1
200665_s_at,8,2,3,7,13,6,13,8,6,9,15,14,10,10,5,6,9,4,14,1
200666_s_at,10,9,4,2,6,9,7,9,9,11,14,10,4,9,3,15,14,5,8,11
200667_at,10,9,4,2,6,9,7,9,9,11,14,10,4,9,3,15,14,5,8,11
200668_s_at,1,2,15,4,7,1,5,4,6,6,7,2,2,11,8,6,9,11,3,1
200669_s_at,5,13,9,3,4,4,2,8,4,13,15,1,1,14,15,14,10,3,10,14
200670_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200671_s_at,10,12,15,4,7,11,5,4,11,6,5,2,2,9,3,5,14,11,3,11
200672_x_at,10,12,4,2,6,9,7,9,11,1,14,10,3,9,3,15,14,5,1,11
200673_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200674_s_at,11,14,14,14,11,7,4,15,15,10,8,15,9,1,2,3,8,6,7,3
200675_at,4,3,11,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200676_s_at,1,7,3,4,3,11,5,14,6,3,4,4,8,11,8,6,9,11,13,1
200677_at,8,13,9,3,13,4,13,8,4,9,15,14,1,10,5,1,10,4,14,14
200678_x_at,7,15,2,5,5,1,3,5,12,11,13,9,4,12,6,4,11,9,8,7
200679_x_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200680_x_at,7,15,2,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
200681_at,1,7,11,4,7,11,5,12,1,2,5,2,6,11,8,5,9,11,12,12
200682_s_at,14,7,11,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200683_s_at,1,7,11,12,3,11,5,12,1,3,5,2,8,11,8,5,9,11,12,12
200684_s_at,1,2,3,4,3,6,5,14,6,3,4,4,8,11,8,6,9,11,13,1
200685_at,14,6,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200686_s_at,8,6,3,7,13,6,13,14,6,9,4,14,10,10,5,6,7,4,14,1
200687_s_at,10,9,4,2,6,9,7,9,11,11,14,10,4,9,3,15,14,5,8,11
200688_at,2,9,2,5,5,14,4,5,15,11,13,8,9,8,10,7,11,6,8,7
200689_x_at,10,12,15,4,7,11,5,4,11,6,5,2,2,9,3,5,14,11,3,11
200690_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200691_s_at,7,15,15,2,5,1,3,4,12,6,7,9,1,12,6,4,14,9,3,7
200692_s_at,1,2,15,4,13,6,5,4,6,6,7,14,2,11,8,6,9,11,3,1
200693_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200694_s_at,1,2,3,4,13,6,5,14,6,9,4,14,10,11,8,6,9,11,14,1
200695_at,7,15,15,3,5,1,3,4,12,13,7,9,1,12,6,4,10,9,3,7
200696_s_at,8,2,9,7,13,6,13,8,6,9,15,14,10,10,5,6,7,4,14,14
200697_at,7,15,2,3,5,1,3,5,12,13,13,9,1,12,6,14,10,9,10,7
200698_at,4,7,11,6,1,11,10,12,1,2,5,6,6,5,14,5,3,15,12,12
200699_at,5,14,1,14,4,15,2,3,13,10,8,1,9,14,15,14,15,3,10,3
200700_s_at,1,2,15,4,7,1,5,4,6,6,7,9,2,11,8,6,9,11,3,1
200701_at,5,13,9,3,4,4,2,8,4,13,15,1,1,14,15,14,10,3,10,14
200702_s_at,10,12,15,2,7,1,7,4,11,6,7,2,2,9,3,4,14,5,3,11
200703_at,7,2,15,4,7,1,3,4,6,6,7,9,2,12,6,4,9,9,3,1
200704_at,2,9,2,5,11,14,4,5,15,11,13,8,9,8,10,7,11,6,8,3
200705_s_at,4,12,6,6,1,11,10,12,1,2,5,2,6,5,14,5,3,15,12,12
200706_s_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200707_at,14,7,11,12,3,10,6,14,1,3,4,4,8,4,13,11,2,7,13,8
200708_at,4,7,11,12,3,10,6,12,1,3,5,4,8,5,13,11,2,7,12,12
200709_at,10,12,6,6,6,9,7,9,5,1,14,10,3,9,3,15,14,5,1,11
200710_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,5,9,11,3,1
200711_s_at,7,2,15,4,7,1,3,4,6,6,7,9,2,12,6,4,9,9,3,1
200712_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200713_s_at,4,7,11,12,1,10,6,12,1,2,11,6,6,5,14,12,2,15,12,12
200714_x_at,1,7,11,4,7,11,5,12,1,2,5,2,6,11,8,5,9,11,12,1
200715_x_at,15,3,6,6,1,2,10,12,5,1,11,6,3,13,14,12,5,15,1,12
200716_x_at,7,15,2,3,5,1,3,5,12,13,13,9,1,12,6,4,10,9,10,7
200717_x_at,10,5,6,6,1,9,10,12,5,1,14,10,3,9,3,15,3,15,1,11
200718_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200719_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200720_s_at,14,7,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200721_s_at,4,3,11,6,1,11,10,12,1,2,5,6,6,5,14,5,3,15,12,12
200722_s_at,7,15,15,3,5,1,3,4,12,13,7,9,1,12,6,4,10,9,3,7
200723_s_at,8,6,3,7,13,6,13,14,6,9,4,14,10,10,5,6,7,4,14,1
200724_at,7,15,2,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
200725_x_at,7,15,9,3,5,1,3,4,12,13,7,9,1,12,6,4,10,9,10,7
200726_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200727_s_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,5,9,11,3,1
200728_at,2,9,4,2,5,1,7,5,11,11,7,8,4,8,3,4,14,5,8,11
200729_s_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200730_s_at,8,6,3,7,13,6,13,14,14,9,4,14,10,10,5,1,7,4,14,8
200731_s_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
200732_s_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200733_s_at,5,13,9,3,4,4,2,8,4,13,15,1,1,14,15,14,10,3,11,14
200734_s_at,1,7,3,4,3,10,5,14,6,3,4,4,8,11,8,6,9,11,13,8
200735_x_at,15,5,6,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200736_s_at,7,15,15,2,7,1,3,4,11,6,7,9,2,12,6,4,14,9,3,11
200737_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200738_s_at,7,15,9,3,13,1,3,8,12,13,7,9,1,12,6,4,10,9,10,14
200739_s_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200740_s_at,1,2,3,4,3,11,5,14,6,3,4,4,8,11,8,6,9,11,13,1
200741_s_at,1,7,11,4,7,11,5,4,1,6,5,2,2,11,8,5,9,11,3,1
200742_s_at,4,3,11,6,1,11,10,12,1,2,5,2,6,5,14,5,3,15,12,12
200743_s_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200744_s_at,8,13,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
200745_s_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200746_s_at,10,9,4,2,6,9,7,9,11,11,14,10,4,9,3,15,14,5,8,11
200747_s_at,8,6,3,7,13,6,13,8,6,9,15,14,10,10,5,1,7,4,14,14
200748_s_at,7,15,9,3,5,1,3,4,12,13,7,9,1,12,6,4,10,9,10,7
200749_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200750_s_at,2,9,4,5,6,14,4,9,9,11,14,8,4,8,10,7,11,6,8,15
200751_s_at,14,7,11,12,3,10,6,14,1,3,4,4,8,4,13,11,2,7,13,8
200752_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200753_x_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200754_x_at,7,12,15,4,7,1,5,4,11,6,7,9,2,12,6,4,9,11,3,1
200755_s_at,14,6,3,7,3,6,6,14,14,3,4,4,8,4,13,11,7,7,13,8
200756_x_at,14,7,3,12,3,10,6,14,14,3,4,4,8,4,13,11,2,7,13,8
200757_s_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
200758_s_at,1,2,3,4,13,6,5,4,6,9,7,14,10,11,8,6,9,11,14,1
200759_x_at,1,7,11,4,1,11,5,12,1,2,5,2,6,11,8,5,3,11,12,12
200760_s_at,5,13,9,3,4,4,3,8,12,13,15,1,1,14,15,14,10,9,10,14
200761_s_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
200762_at,10,5,6,6,6,9,10,9,5,1,14,10,3,9,3,15,5,1,1,11
200763_s_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
200764_s_at,10,12,15,2,7,11,7,4,11,6,7,2,2,9,3,5,14,5,3,11
200765_x_at,5,13,9,3,4,4,2,5,12,13,15,1,1,14,15,14,10,3,10,7
200766_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200767_s_at,8,6,3,7,3,6,13,14,14,9,4,14,10,10,5,6,7,4,14,8
200768_s_at,10,12,15,2,7,1,7,4,11,6,7,2,2,9,3,4,14,5,3,11
200769_s_at,1,12,15,4,7,11,5,4,6,6,5,2,2,11,8,5,9,11,3,1
200770_s_at,7,15,9,3,4,4,3,8,12,13,15,9,1,12,6,14,10,9,10,7
200771_at,10,12,15,2,7,11,7,4,11,6,5,2,2,9,3,5,14,5,3,11
200772_x_at,15,5,6,1,6,9,15,9,5,1,14,10,3,13,11,15,5,1,1,15
200773_x_at,7,15,9,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
