1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1007_s_at,10,12,15,2,7,1,7,4,11,6,7,2,2,9,3,4,14,5,3,11
1053_at,10,12,15,2,7,1,7,4,11,6,7,9,2,9,3,4,14,5,3,11
117_at,4,3,11,6,1,2,10,12,1,2,11,6,6,5,14,12,3,15,12,12
121_at,1,2,15,4,7,6,5,4,6,6,7,2,2,11,8,6,9,11,3,1
1255_g_at,4,3,6,6,1,2,10,12,5,2,11,6,6,5,14,12,3,15,12,12
1294_at,7,15,9,3,13,4,3,8,12,13,15,9,1,12,6,14,10,9,10,14
1316_at,10,12,4,2,6,9,7,9,11,11,14,10,4,9,3,15,14,5,8,11
1320_at,7,2,15,3,7,1,3,4,12,6,7,9,2,12,6,4,9,9,3,1
1405_i_at,10,12,15,2,7,9,7,4,11,6,14,10,2,9,3,4,14,5,3,11
1431_at,15,5,4,1,6,9,15,9,9,1,14,10,3,13,11,15,5,1,1,15
1438_at,8,2,9,4,13,6,13,8,6,9,15,14,10,10,5,6,9,4,14,1
1487_at,7,2,15,4,7,1,3,4,6,6,7,9,2,12,6,4,9,9,3,1
1494_f_at,2,9,4,5,6,14,4,9,9,11,14,8,4,8,10,7,11,6,8,15
1598_g_at,7,15,9,3,5,4,3,5,12,13,7,9,1,12,6,14,10,9,10,7
160020_at,1,2,15,4,7,1,5,4,6,6,7,9,2,11,8,6,9,11,3,1
1729_at,2,9,2,5,5,14,4,5,15,11,13,8,4,8,10,7,11,6,8,7
1773_at,8,6,9,7,13,6,13,8,4,9,15,14,10,10,5,1,7,4,14,14
177_at,7,2,15,4,13,1,3,4,6,6,7,9,2,12,6,6,9,11,3,1
179_at,14,7,11,12,3,10,6,14,1,3,4,4,8,4,13,11,2,7,13,8
1861_at,1,2,15,4,7,11,5,4,6,6,5,2,2,11,8,6,9,11,3,1
200000_s_at,7,13,9,3,13,4,3,8,12,13,15,9,1,12,6,14,10,9,10,14
200001_at,1,7,3,4,3,10,5,14,6,3,4,4,8,11,8,6,9,11,13,8
200002_at,14,6,3,7,3,6,13,14,14,3,4,4,8,4,13,11,7,7,13,8
200003_s_at,15,5,6,1,6,2,15,9,5,1,11,10,3,13,11,15,5,1,1,15
200004_at,7,2,15,4,7,1,3,4,6,6,7,9,2,12,6,4,9,9,3,1
200005_at,2,9,2,5,11,14,4,5,15,11,13,8,9,8,10,7,11,6,8,7
200006_at,8,2,9,7,13,6,13,8,6,9,15,14,10,10,5,6,7,4,14,14
200007_at,10,12,15,4,7,11,5,4,11,6,5,2,2,11,8,5,9,11,3,1
200008_s_at,7,15,2,3,5,1,3,5,12,13,7,9,1,12,6,4,10,9,10,7
