1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AT3G59700,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT4G09320,4,4,2,2,2,4,4,3,3,5,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2
AT1G08830,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AT4G16760,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Z26426,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
AT2G29450,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
AF087932,1,1,3,3,3,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,3,3,3,1,3,3
AT5G02500,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AT1G51760,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AT3G45140,1,1,3,3,3,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,3,3,3,1,3,3
AT1G56190,1,1,3,3,3,1,1,1,1,2,1,2,3,3,3,1,1,1,1,1,3,3,3,1,2,2
Y14590,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
AT5G42180,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AT4G13940,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AT3G54640,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AT5G54810,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
