1,2,3,4,5,6,7,8,9,10
200595_s_at,5,4,4,9,3,8,3,7,9,8
200596_s_at,5,4,10,9,3,8,3,7,9,8
200597_at,7,1,2,8,5,1,1,8,8,6
200598_s_at,3,7,1,2,10,10,8,10,1,4
200599_s_at,7,6,2,7,5,1,10,8,7,6
200600_at,3,7,1,2,7,10,8,2,1,5
200601_at,5,1,7,6,5,8,1,8,6,6
200602_at,7,6,2,7,7,1,10,2,7,5
200603_at,4,5,5,10,2,9,2,3,3,7
200604_s_at,6,8,7,6,5,4,6,8,6,4
200605_s_at,5,1,4,8,5,8,1,8,8,6
200606_at,3,7,1,2,7,10,8,2,1,5
200607_s_at,7,6,2,7,7,1,10,2,7,5
200608_s_at,5,1,4,8,3,8,1,7,8,8
200609_s_at,6,4,10,9,3,4,3,7,9,8
200610_s_at,3,7,1,2,10,10,8,10,1,4
200611_s_at,3,7,1,2,7,10,8,2,1,5
200612_s_at,6,5,10,10,10,4,2,10,3,7
200613_at,3,8,7,6,10,10,6,10,6,4
200614_at,3,7,1,7,7,10,8,2,1,5
200615_s_at,5,4,4,9,3,8,3,7,9,8
200616_s_at,5,1,4,8,5,8,1,8,8,6
200617_at,7,6,2,7,7,1,10,2,7,5
200618_at,5,4,4,9,3,8,3,7,9,8
200619_at,3,7,1,2,7,10,8,2,1,4
200620_at,6,8,7,6,10,4,6,10,6,4
200621_at,7,1,2,8,5,1,1,8,8,6
200622_x_at,4,5,5,10,10,9,2,10,3,7
200623_s_at,3,8,7,6,7,10,6,10,6,4
200624_s_at,6,4,10,9,3,4,3,7,9,8
200625_s_at,7,1,2,8,5,1,1,8,8,6
200626_s_at,6,8,7,6,10,4,6,10,6,4
200627_at,6,8,7,6,10,4,6,10,6,4
200628_s_at,3,7,1,2,10,10,8,10,1,4
200629_at,5,4,4,9,3,8,3,7,9,8
200630_x_at,3,7,7,2,10,10,8,10,1,4
200631_s_at,3,7,1,2,7,10,8,2,1,5
200632_s_at,5,1,4,8,3,8,1,7,8,8
200633_at,3,7,1,2,7,10,8,2,1,4
200634_at,7,1,2,6,5,1,1,8,6,6
200635_s_at,6,8,7,6,10,4,6,10,6,4
200636_s_at,7,6,7,6,7,1,10,2,6,4
200637_s_at,7,6,2,7,7,1,10,2,7,5
200638_s_at,6,4,10,9,3,4,3,7,9,8
200639_s_at,6,8,10,10,10,4,6,10,3,4
200640_at,3,7,7,2,10,10,8,10,1,4
200641_s_at,7,6,2,7,7,1,10,2,7,5
200642_at,6,8,7,6,10,4,6,10,6,4
200643_at,7,6,2,7,5,1,10,8,7,6
200644_at,6,8,7,6,10,4,6,10,6,4
200645_at,7,1,2,8,5,1,1,8,8,6
200646_s_at,5,1,4,8,5,8,1,8,8,6
200647_x_at,6,8,7,6,10,4,6,10,6,4
200648_s_at,5,1,4,8,5,8,1,8,8,6
200649_at,7,8,7,6,5,1,6,8,6,6
200650_s_at,6,8,10,10,10,4,6,10,3,4
200651_at,5,4,4,9,3,8,3,7,8,8
200652_at,7,6,2,7,7,1,10,2,7,5
200653_s_at,7,6,2,7,7,1,10,2,7,5
200654_at,3,7,5,2,10,10,8,10,1,7
200655_s_at,7,1,2,8,5,1,1,8,7,6
200656_s_at,5,4,4,9,3,8,3,7,9,8
200657_at,5,4,4,9,3,8,3,7,9,8
200658_s_at,5,4,4,9,3,8,3,7,9,8
200659_s_at,3,7,1,2,10,10,8,10,1,4
200660_at,7,8,7,6,5,1,6,8,6,4
200661_at,6,8,7,6,10,4,6,10,6,4
200662_s_at,3,7,1,2,10,10,8,10,1,4
200663_at,4,5,5,10,10,9,2,10,3,7
200664_s_at,3,7,1,2,7,10,8,2,1,5
200665_s_at,3,7,5,2,10,10,8,10,1,4
200666_s_at,5,4,10,9,3,8,3,7,9,8
200667_at,5,1,4,8,5,8,1,8,8,6
200668_s_at,5,4,4,9,3,8,3,7,9,8
200669_s_at,3,7,1,2,7,10,8,2,1,5
200670_at,3,6,1,7,7,10,10,2,7,5
200671_s_at,3,7,1,2,7,10,8,2,1,4
200672_x_at,3,6,1,7,7,10,10,2,7,5
200673_at,6,8,7,6,5,4,6,8,6,4
200674_s_at,7,1,2,8,5,1,1,8,7,6
200675_at,7,1,2,8,5,1,1,8,6,6
200676_s_at,7,1,2,8,5,1,1,8,8,6
200677_at,6,4,10,9,3,4,3,7,9,8
200678_x_at,7,6,2,7,7,1,10,2,7,5
200679_x_at,6,8,7,6,10,4,6,10,6,4
200680_x_at,3,7,7,2,10,10,8,10,1,4
200681_at,4,5,5,10,10,9,2,10,3,7
