1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
210603_at,13,12,11,12,3,5,18,1,5,20,11,7,16,17,10,10,7,11,8,17
210604_at,5,20,4,12,3,5,5,1,2,14,2,7,16,17,8,10,19,12,12,4
210605_s_at,20,13,8,17,19,1,6,2,5,17,4,2,1,12,3,6,17,19,7,7
210606_x_at,11,15,6,11,20,8,19,3,3,3,5,13,9,18,17,8,12,2,11,13
210607_at,17,2,19,14,17,11,7,5,16,11,6,8,8,16,1,17,3,6,20,12
210608_s_at,20,12,3,6,4,1,18,2,15,20,18,15,18,12,10,1,8,11,8,17
210609_s_at,19,2,19,14,17,11,7,5,16,11,6,8,11,19,1,17,3,6,20,12
210610_at,16,8,18,13,6,2,10,4,17,16,1,19,13,11,4,9,6,4,14,6
210611_s_at,13,12,11,12,3,5,18,1,5,20,11,7,16,17,10,10,7,2,8,4
210612_s_at,18,19,1,19,15,13,2,10,13,10,12,18,3,3,13,16,11,20,10,8
210613_s_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,10,9
210614_at,13,13,8,17,19,9,20,16,5,20,4,2,1,12,18,6,17,19,7,7
210615_at,5,12,4,12,3,5,18,1,2,14,11,7,16,17,8,10,7,2,8,4
210616_s_at,13,12,11,12,3,5,18,1,5,20,11,7,16,17,10,10,7,2,8,4
210617_at,16,8,15,13,12,2,10,4,17,16,18,15,13,11,16,18,6,4,18,6
210618_at,5,20,4,18,8,18,5,18,2,14,2,17,8,14,8,10,19,12,12,4
210619_s_at,5,20,4,14,17,11,5,18,2,14,2,8,8,14,8,16,19,12,12,12
210620_s_at,17,2,3,6,4,10,7,5,15,11,6,15,18,16,1,1,3,6,20,6
210621_s_at,17,12,3,6,4,5,18,1,15,20,11,7,18,16,10,10,7,11,8,17
210622_x_at,16,8,18,13,6,2,10,4,17,16,1,19,13,11,4,9,6,4,14,6
210623_at,16,1,15,16,12,2,6,4,12,16,18,10,13,11,16,18,8,4,18,11
210624_s_at,17,2,3,6,4,10,7,5,15,11,6,15,18,16,1,17,3,11,20,12
210625_s_at,13,13,8,17,19,9,20,16,5,20,4,2,1,12,3,6,17,19,7,7
210626_at,17,12,3,6,4,10,18,5,15,20,6,15,18,16,10,1,3,11,8,17
210627_s_at,5,20,6,12,3,8,19,3,3,14,2,7,7,5,8,8,12,3,12,4
210628_x_at,4,8,18,6,6,10,10,4,17,16,6,15,18,16,4,9,6,4,20,6
210629_x_at,19,19,19,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210630_s_at,11,17,6,18,8,18,14,3,1,3,7,17,7,5,17,8,18,3,11,9
210631_at,20,13,8,17,19,1,6,2,5,17,4,2,1,12,3,6,8,19,7,7
210632_s_at,5,20,4,14,17,11,5,5,2,11,2,8,8,14,1,17,19,12,12,12
210633_x_at,5,20,4,12,3,5,5,1,2,14,2,7,16,17,8,10,19,12,12,4
210634_at,18,17,1,18,8,18,14,18,13,10,12,17,3,3,13,16,18,20,10,9
210635_s_at,19,5,19,4,15,17,11,14,16,15,14,19,11,19,20,3,20,6,19,5
