1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
200815_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200816_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200817_x_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200818_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200819_s_at,4,4,4,1,1,2,3,4,4,3,2,5,4,4,5,3,5
200820_at,1,4,2,5,2,1,3,4,1,2,1,5,3,1,1,3,2
200821_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200822_x_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200823_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200824_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200825_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200826_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200827_at,4,4,4,1,1,2,3,4,4,3,2,3,4,4,5,3,5
200828_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200829_x_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200830_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200831_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200832_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200833_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200834_s_at,1,2,5,5,1,1,2,4,1,2,5,3,1,1,3,3,1
200835_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200836_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200837_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200838_at,4,4,4,1,1,2,3,4,4,3,2,5,4,4,5,3,5
200839_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200840_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200841_s_at,1,2,2,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200842_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200843_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200844_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200845_s_at,1,2,5,1,1,1,2,4,4,2,5,3,1,1,3,3,1
200846_s_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200847_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200848_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200849_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200850_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200851_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200852_x_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200853_at,4,2,5,1,1,3,2,4,4,3,4,3,1,3,3,3,1
200854_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200855_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200856_x_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200857_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200858_s_at,2,2,5,2,3,1,2,1,3,5,5,2,2,1,2,1,3
200859_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200860_s_at,2,2,5,2,3,1,2,1,3,5,5,2,1,1,3,1,1
200861_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200862_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200863_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200864_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200865_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200866_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200867_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200868_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200869_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200870_at,4,2,5,1,1,1,2,4,4,3,4,3,1,1,3,3,1
200871_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200872_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200873_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200874_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200875_s_at,4,2,5,1,1,3,2,4,4,3,4,3,1,3,3,3,1
200876_s_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200877_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200878_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200879_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200880_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200881_s_at,1,2,2,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200882_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200883_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200884_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200885_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200886_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200887_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200888_s_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200889_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200890_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200891_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200892_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200893_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200894_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200895_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200896_x_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200897_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200898_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200899_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200900_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200901_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200902_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200903_s_at,4,2,5,1,1,3,2,4,4,3,4,3,1,3,3,3,1
200904_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200905_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200906_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200907_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200908_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200909_s_at,1,2,5,5,2,1,2,1,1,2,1,5,3,1,1,1,2
200910_at,1,2,2,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200911_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200912_s_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200913_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200914_x_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200915_x_at,2,2,5,2,3,1,2,1,3,2,5,2,3,1,1,1,2
200916_at,4,2,5,1,1,1,2,4,4,3,4,3,1,1,3,3,1
200917_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200918_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200919_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200920_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200921_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200922_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200923_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200924_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200925_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200926_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200927_s_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200928_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200929_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200930_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200931_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200932_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200933_x_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200934_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200935_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200936_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200937_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200938_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200939_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200940_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200941_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200942_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200943_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200944_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200945_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200946_x_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200947_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200948_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200949_x_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200950_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200951_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200952_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200953_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200954_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200955_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200956_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200957_s_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200958_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200959_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200960_x_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200961_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200962_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200963_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200964_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200965_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200966_x_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200967_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200968_s_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200969_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200970_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200971_s_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200972_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
