1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
200059_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200060_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200061_s_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
200062_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200063_s_at,5,3,3,3,5,5,1,2,5,1,3,1,5,2,4,5,4
200064_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200065_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200066_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200067_x_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200068_s_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
200069_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200070_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200071_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200072_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200073_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200074_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200075_s_at,3,3,3,4,4,5,1,1,2,4,3,1,5,2,4,1,4
200076_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200077_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200078_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200079_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200080_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200081_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200082_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200083_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200084_at,3,3,3,4,4,5,1,2,2,4,3,1,5,2,4,5,4
200085_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200086_s_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
200087_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200088_x_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200089_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200090_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200091_s_at,5,1,1,3,5,4,4,2,5,1,3,4,5,5,2,5,3
200092_s_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200093_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200094_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,4,3
200095_x_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200096_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200097_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200098_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200099_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,5,4
200593_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200594_x_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200595_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200596_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200597_at,5,3,3,3,5,5,1,2,5,1,3,1,5,2,4,5,4
200598_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200599_s_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200600_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200601_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
200602_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200603_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200604_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200605_s_at,3,3,3,4,4,5,1,2,2,4,3,1,5,2,4,5,4
200606_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200607_s_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
200608_s_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
200609_s_at,3,3,3,4,4,5,1,1,2,4,3,1,5,2,4,5,4
200610_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200611_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200612_s_at,2,2,5,2,3,1,2,1,3,5,5,2,2,1,2,1,3
200613_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200614_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200615_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200616_s_at,2,2,5,2,3,1,2,1,3,5,5,2,2,1,2,1,3
200617_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200618_at,3,3,3,4,4,5,1,5,5,1,3,1,5,2,4,5,4
200619_at,5,1,1,3,5,4,4,2,5,1,3,4,5,5,2,5,3
200620_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
200621_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200622_x_at,5,1,1,3,5,4,4,3,5,5,3,4,2,5,2,4,3
200623_s_at,2,1,1,2,3,4,4,3,3,5,5,2,2,5,2,4,3
200624_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200625_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200626_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200627_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200628_s_at,5,1,1,2,5,4,4,2,3,5,3,4,2,5,2,4,3
200629_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
200630_x_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200631_s_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
200632_s_at,3,3,3,4,4,5,1,1,2,4,3,1,5,2,4,1,4
200633_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200634_at,2,1,1,2,3,4,4,1,3,5,5,2,2,5,2,1,3
200635_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200636_s_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200637_s_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200638_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200639_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200640_at,2,1,1,2,3,4,4,1,3,5,5,2,2,5,2,1,3
200641_s_at,5,1,1,3,5,4,4,2,5,1,3,4,5,5,2,5,3
200642_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,4,3
200643_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200644_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200645_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200646_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200647_x_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200648_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200649_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200650_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200651_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,4,3
